geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.6,0.8,0.6,0.5,0.4,0.2,0.2,0.1,0,0,0,0,0,5.5,0,0,0,0,0,8.7,10.7,10.7,0,0,0,0,0,4.76,0,0,0,5.77,0,0,2.36,0,6.6,0,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,8.12,11.7,12.1,11.7,11.6,11.4,12.5,12.4,11.7,12.9,12.9,13.6,13.7,13.8,15.4,14.8,16.7,18.2,17,15.9,15.3,14.5,16,15.4,13.8,12.9,11.5,13.3,16.3,21.5,28.2,31.3,30.2,28.9,28.1,26.1
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,37,0,24.9,0,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,2.22,0,0,0,0,4.17,0,3.08,0,4.37,0,0,0,0,0,0,0,2.76,1.51,1.4,4.33,3.39,3.38,0,2.53,0,0,0,3.83,6.61,3.44,3.64,3.37,3.53,3.94,
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,32.1,0,0,0,19.2,0,0,0,0,17.3,0,0,0,0,
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,6,0,0,0,10.9,10.3,0,0,6.12,5.54,2.93,0,0,3.4,4.42,3.32,4.35,3.89,0,4.08,4.81,6.55,8.31,6.38,4.39,4.28,3.84,4.26,5.4,6.31,5.12,5.08,6.9,6.33,5.5,
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,7.6,10.5,10.4,9.37,8.69,9.03,7.86,8.09,6.22,5.79,4.88,5.08,5.39,5.86,7.43,7.91,7.73,8,9.74,10.7,11,10.6,10.1,7.91,7.04,5.11,4.57
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,1,1.3,1.8,1.3,0.8,0.6,0.9,2.2,2.2,2.89,4.9,5.6,5.54,4.91,3.45,3.82,3.8,2.79,2.63,2.24,2.65,3.97,2.75,2.49,3.06,2.27,2.58,5.68,6.74,6.21,5.66,5.08,4.79,4.05,3.05,2.72
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,2.4,0,0,0,0,5,0,0,0,0,4.34,0,3.69,0,0,0,0,
